EmployeeNumber,Department,JobRole,MonthlyIncome,PerformanceRating,YearsAtCompany,Bonus,Deductions,NetSalary,PerformanceScore,Deduction
359,Research & Development,Laboratory Technician,2794.0,4.0,5.0,279.40000000000003,139.70000000000002,2933.7000000000003,90.0,139.70000000000002
361,Sales,Sales Executive,5249.0,3.0,8.0,524.9,262.45,5511.45,76.0,262.45
362,Research & Development,Laboratory Technician,2176.0,3.0,6.0,217.6,108.8,2284.7999999999997,72.0,108.80000000000001
363,Sales,Manager,16872.0,3.0,7.0,1687.2,843.6,17715.600000000002,74.0,843.6
364,Research & Development,Laboratory Technician,3485.0,3.0,0.0,348.5,174.25,3659.25,60.0,174.25
366,Sales,Sales Executive,6644.0,3.0,0.0,664.4000000000001,332.20000000000005,6976.2,60.0,332.20000000000005
367,Research & Development,Healthcare Representative,5582.0,4.0,9.0,558.2,279.1,5861.099999999999,98.0,279.1
369,Research & Development,Healthcare Representative,4000.0,3.0,6.0,400.0,200.0,4200.0,72.0,200.0
372,Research & Development,Healthcare Representative,13496.0,3.0,20.0,1349.6,674.8000000000001,14170.800000000001,100.0,674.8000000000001
373,Research & Development,Laboratory Technician,3210.0,3.0,15.0,321.0,160.5,3370.5,90.0,160.5
374,Research & Development,Manager,19045.0,3.0,36.0,1904.5,952.25,19997.25,132.0,952.25
376,Research & Development,Manager,11849.0,3.0,10.0,1184.9,592.45,12441.449999999999,80.0,592.45
377,Research & Development,Research Scientist,2070.0,4.0,5.0,207.0,103.5,2173.5,90.0,103.5
378,Sales,Sales Executive,6502.0,3.0,5.0,650.2,325.1,6827.099999999999,70.0,325.1
379,Research & Development,Research Scientist,3230.0,3.0,3.0,323.0,161.5,3391.5,66.0,161.5
380,Research & Development,Research Director,13603.0,3.0,5.0,1360.3000000000002,680.1500000000001,14283.15,70.0,680.1500000000001
381,Research & Development,Manager,11996.0,3.0,7.0,1199.6,599.8000000000001,12595.800000000001,74.0,599.8000000000001
382,Sales,Sales Executive,5605.0,4.0,8.0,560.5,280.25,5885.25,96.0,280.25
384,Research & Development,Manufacturing Director,6397.0,4.0,6.0,639.7,319.85,6716.849999999999,92.0,319.85
385,Research & Development,Research Director,19144.0,3.0,10.0,1914.4,957.2,20101.2,80.0,957.2
386,Research & Development,Research Director,17584.0,3.0,5.0,1758.4,879.2,18463.2,70.0,879.2
387,Sales,Sales Executive,4907.0,4.0,20.0,490.7000000000001,245.35,5152.349999999999,120.0,245.35000000000002
388,Sales,Sales Executive,4554.0,3.0,10.0,455.4,227.7,4781.7,80.0,227.70000000000002
389,Research & Development,Laboratory Technician,5415.0,3.0,10.0,541.5,270.75,5685.75,80.0,270.75
390,Research & Development,Healthcare Representative,4741.0,3.0,5.0,474.1,237.05,4978.05,70.0,237.05
391,Research & Development,Research Scientist,2115.0,3.0,17.0,211.5,105.75,2220.75,94.0,105.75
392,Research & Development,Laboratory Technician,3161.0,4.0,1.0,316.1,158.05,3319.0499999999997,82.0,158.05
393,Research & Development,Healthcare Representative,5745.0,3.0,2.0,574.5,287.25,6032.25,64.0,287.25
394,Research & Development,Laboratory Technician,2373.0,3.0,3.0,237.3,118.65,2491.65,66.0,118.65
395,Research & Development,Research Scientist,3310.0,4.0,5.0,331.0,165.5,3475.5,90.0,165.5
396,Research & Development,Research Director,18665.0,3.0,3.0,1866.5,933.25,19598.25,66.0,933.25
397,Research & Development,Research Scientist,4485.0,3.0,8.0,448.5,224.25,4709.25,76.0,224.25
399,Sales,Sales Representative,2789.0,3.0,2.0,278.90000000000003,139.45000000000002,2928.4500000000003,64.0,139.45000000000002
401,Sales,Sales Executive,5828.0,3.0,8.0,582.8000000000001,291.40000000000003,6119.400000000001,76.0,291.40000000000003
403,Research & Development,Research Scientist,2326.0,3.0,4.0,232.6,116.3,2442.2999999999997,68.0,116.30000000000001
404,Sales,Sales Executive,13525.0,3.0,20.0,1352.5,676.25,14201.25,100.0,676.25
405,Research & Development,Laboratory Technician,1420.0,3.0,0.0,142.0,71.0,1491.0,60.0,71.0
406,Sales,Sales Executive,8020.0,3.0,11.0,802.0,401.0,8421.0,82.0,401.0
407,Research & Development,Laboratory Technician,3688.0,3.0,1.0,368.8,184.4,3872.4,62.0,184.4
408,Research & Development,Manufacturing Director,5482.0,3.0,4.0,548.2,274.1,5756.099999999999,68.0,274.1
410,Sales,Manager,16015.0,3.0,22.0,1601.5,800.75,16815.75,104.0,800.75
411,Sales,Sales Representative,1200.0,3.0,0.0,120.0,60.0,1260.0,60.0,60.0
412,Research & Development,Healthcare Representative,5661.0,3.0,8.0,566.1,283.05,5944.05,76.0,283.05
416,Sales,Sales Executive,6929.0,3.0,8.0,692.9000000000001,346.45000000000005,7275.45,76.0,346.45000000000005
417,Research & Development,Healthcare Representative,9613.0,3.0,18.0,961.3,480.65,10093.65,96.0,480.65000000000003
419,Research & Development,Laboratory Technician,5674.0,3.0,9.0,567.4,283.7,5957.7,78.0,283.7
420,Sales,Sales Executive,5484.0,3.0,13.0,548.4,274.2,5758.2,86.0,274.2
421,Research & Development,Research Director,12061.0,3.0,10.0,1206.1,603.0500000000001,12664.050000000001,80.0,603.0500000000001
422,Research & Development,Healthcare Representative,5660.0,3.0,5.0,566.0,283.0,5943.0,70.0,283.0
423,Research & Development,Research Scientist,4821.0,3.0,5.0,482.1,241.05,5062.05,70.0,241.05
424,Human Resources,Human Resources,6410.0,3.0,2.0,641.0,320.5,6730.5,64.0,320.5
425,Research & Development,Laboratory Technician,5210.0,3.0,24.0,521.0,260.5,5470.5,108.0,260.5
426,Research & Development,Research Scientist,2695.0,3.0,2.0,269.5,134.75,2829.75,64.0,134.75
428,Research & Development,Manager,11878.0,3.0,10.0,1187.8,593.9,12471.9,80.0,593.9
429,Research & Development,Manager,17068.0,3.0,21.0,1706.8000000000002,853.4000000000001,17921.399999999998,102.0,853.4000000000001
430,Research & Development,Laboratory Technician,2455.0,3.0,8.0,245.5,122.75,2577.75,76.0,122.75
431,Research & Development,Healthcare Representative,13964.0,3.0,7.0,1396.4,698.2,14662.199999999999,74.0,698.2
433,Research & Development,Research Scientist,4941.0,3.0,8.0,494.1,247.05,5188.05,76.0,247.05
434,Research & Development,Research Scientist,2478.0,3.0,4.0,247.8,123.9,2601.9,68.0,123.9
436,Sales,Sales Executive,5228.0,3.0,13.0,522.8000000000001,261.40000000000003,5489.400000000001,86.0,261.40000000000003
437,Sales,Sales Executive,4478.0,3.0,5.0,447.8,223.9,4701.900000000001,70.0,223.9
438,Sales,Sales Executive,7547.0,3.0,7.0,754.7,377.35,7924.35,74.0,377.35
439,Research & Development,Research Scientist,5055.0,3.0,7.0,505.5,252.75,5307.75,74.0,252.75
440,Research & Development,Research Scientist,3464.0,3.0,3.0,346.40000000000003,173.20000000000002,3637.2000000000003,66.0,173.20000000000002
441,Research & Development,Research Scientist,5775.0,3.0,10.0,577.5,288.75,6063.75,80.0,288.75
442,Research & Development,Manufacturing Director,8943.0,4.0,10.0,894.3000000000001,447.15,9390.15,100.0,447.15000000000003
444,Research & Development,Manager,19272.0,3.0,21.0,1927.2,963.6,20235.600000000002,102.0,963.6
445,Sales,Sales Executive,5238.0,3.0,1.0,523.8000000000001,261.90000000000003,5499.900000000001,62.0,261.90000000000003
446,Sales,Sales Executive,4682.0,3.0,7.0,468.2000000000001,234.1,4916.099999999999,74.0,234.10000000000002
447,Research & Development,Research Director,18300.0,3.0,3.0,1830.0,915.0,19215.0,66.0,915.0
448,Research & Development,Laboratory Technician,5257.0,3.0,9.0,525.7,262.85,5519.849999999999,78.0,262.85
449,Sales,Sales Executive,6349.0,3.0,5.0,634.9000000000001,317.45000000000005,6666.45,70.0,317.45000000000005
450,Research & Development,Research Scientist,4869.0,3.0,4.0,486.9,243.45,5112.45,68.0,243.45000000000002
451,Research & Development,Healthcare Representative,9985.0,3.0,1.0,998.5,499.25,10484.25,62.0,499.25
452,Research & Development,Research Scientist,3697.0,3.0,10.0,369.7000000000001,184.85,3881.8500000000004,80.0,184.85000000000002
453,Sales,Sales Executive,7457.0,4.0,4.0,745.7,372.85,7829.85,88.0,372.85
454,Research & Development,Laboratory Technician,2119.0,3.0,7.0,211.9,105.95,2224.9500000000003,74.0,105.95
455,Research & Development,Laboratory Technician,3983.0,3.0,3.0,398.3,199.15,4182.150000000001,66.0,199.15
456,Sales,Sales Executive,6118.0,3.0,10.0,611.8000000000001,305.90000000000003,6423.900000000001,80.0,305.90000000000003
458,Sales,Sales Executive,6214.0,3.0,8.0,621.4000000000001,310.70000000000005,6524.7,76.0,310.70000000000005
460,Research & Development,Manufacturing Director,6347.0,3.0,6.0,634.7,317.35,6664.349999999999,72.0,317.35
461,Research & Development,Research Director,11510.0,3.0,11.0,1151.0,575.5,12085.5,82.0,575.5
462,Research & Development,Manufacturing Director,7143.0,3.0,11.0,714.3000000000001,357.15000000000003,7500.150000000001,82.0,357.15000000000003
463,Sales,Sales Executive,8268.0,3.0,7.0,826.8000000000001,413.4,8681.4,74.0,413.40000000000003
464,Research & Development,Manufacturing Director,8095.0,3.0,16.0,809.5,404.75,8499.75,92.0,404.75
465,Research & Development,Research Scientist,2904.0,3.0,4.0,290.40000000000003,145.20000000000002,3049.2000000000003,68.0,145.20000000000002
466,Research & Development,Manufacturing Director,6032.0,3.0,5.0,603.2,301.6,6333.599999999999,70.0,301.6
467,Sales,Sales Representative,2976.0,3.0,0.0,297.6,148.8,3124.7999999999997,60.0,148.8
468,Research & Development,Research Director,15992.0,3.0,1.0,1599.2,799.6,16791.600000000002,62.0,799.6
469,Sales,Sales Executive,4649.0,3.0,4.0,464.9,232.45,4881.45,68.0,232.45000000000002
470,Human Resources,Human Resources,2696.0,3.0,3.0,269.6,134.8,2830.7999999999997,66.0,134.8
471,Research & Development,Laboratory Technician,2370.0,3.0,8.0,237.0,118.5,2488.5,76.0,118.5
473,Sales,Manager,12504.0,4.0,0.0,1250.4,625.2,13129.199999999999,80.0,625.2
474,Research & Development,Research Scientist,5974.0,3.0,7.0,597.4,298.7,6272.7,74.0,298.7
475,Sales,Sales Executive,4736.0,3.0,2.0,473.6,236.8,4972.8,64.0,236.8
476,Sales,Sales Executive,5296.0,3.0,8.0,529.6,264.8,5560.8,76.0,264.8
477,Research & Development,Healthcare Representative,6781.0,4.0,1.0,678.1,339.05,7120.05,82.0,339.05
478,Sales,Sales Representative,2174.0,3.0,3.0,217.4,108.7,2282.7000000000003,66.0,108.7
479,Sales,Sales Executive,6653.0,3.0,1.0,665.3000000000001,332.65000000000003,6985.650000000001,62.0,332.65000000000003
481,Sales,Sales Executive,9699.0,3.0,13.0,969.9,484.9500000000001,10183.949999999999,86.0,484.95000000000005
482,Research & Development,Healthcare Representative,6755.0,3.0,3.0,675.5,337.75,7092.75,66.0,337.75
483,Research & Development,Laboratory Technician,2213.0,3.0,7.0,221.3,110.65,2323.65,74.0,110.65
484,Sales,Sales Representative,2610.0,4.0,3.0,261.0,130.5,2740.5,86.0,130.5
485,Sales,Sales Representative,2851.0,3.0,1.0,285.1,142.55,2993.5499999999997,62.0,142.55
486,Research & Development,Laboratory Technician,3452.0,4.0,5.0,345.20000000000005,172.60000000000002,3624.6,90.0,172.60000000000002
487,Research & Development,Manufacturing Director,5258.0,3.0,1.0,525.8000000000001,262.90000000000003,5520.900000000001,62.0,262.90000000000003
488,Sales,Sales Executive,9355.0,3.0,8.0,935.5,467.75,9822.75,76.0,467.75
491,Research & Development,Healthcare Representative,10496.0,3.0,4.0,1049.6,524.8000000000001,11020.800000000001,68.0,524.8000000000001
492,Sales,Sales Executive,6380.0,3.0,6.0,638.0,319.0,6699.0,72.0,319.0
493,Research & Development,Research Scientist,2657.0,3.0,2.0,265.7,132.85,2789.85,64.0,132.85
494,Sales,Sales Representative,2716.0,3.0,1.0,271.6,135.8,2851.7999999999997,62.0,135.8
495,Research & Development,Research Scientist,2201.0,3.0,3.0,220.1,110.05,2311.0499999999997,66.0,110.05000000000001
496,Research & Development,Healthcare Representative,6540.0,3.0,1.0,654.0,327.0,6867.0,62.0,327.0
497,Research & Development,Laboratory Technician,3816.0,3.0,5.0,381.6,190.8,4006.8,70.0,190.8
498,Sales,Sales Executive,5253.0,3.0,7.0,525.3000000000001,262.65000000000003,5515.650000000001,74.0,262.65000000000003
499,Research & Development,Healthcare Representative,10965.0,4.0,5.0,1096.5,548.25,11513.25,90.0,548.25
500,Sales,Sales Executive,4936.0,3.0,7.0,493.6,246.8,5182.8,74.0,246.8
501,Research & Development,Research Scientist,2543.0,3.0,2.0,254.3,127.15,2670.15,64.0,127.15
502,Sales,Sales Executive,5304.0,3.0,5.0,530.4,265.2,5569.2,70.0,265.2
505,Research & Development,Manager,16659.0,3.0,5.0,1665.9,832.95,17491.95,70.0,832.95
507,Sales,Sales Executive,4260.0,3.0,5.0,426.0,213.0,4473.0,70.0,213.0
508,Sales,Sales Representative,2476.0,3.0,1.0,247.6,123.8,2599.7999999999997,62.0,123.80000000000001
510,Research & Development,Research Scientist,3102.0,4.0,6.0,310.20000000000005,155.10000000000002,3257.1,92.0,155.10000000000002
511,Research & Development,Research Scientist,2244.0,3.0,2.0,224.4,112.2,2356.2000000000003,64.0,112.2
513,Sales,Sales Executive,7596.0,3.0,10.0,759.6,379.8,7975.8,80.0,379.8
514,Research & Development,Research Scientist,2285.0,4.0,1.0,228.5,114.25,2399.25,82.0,114.25
515,Research & Development,Laboratory Technician,3034.0,3.0,18.0,303.40000000000003,151.70000000000002,3185.7000000000003,96.0,151.70000000000002
516,Sales,Sales Executive,5715.0,3.0,5.0,571.5,285.75,6000.75,70.0,285.75
517,Research & Development,Laboratory Technician,2576.0,3.0,5.0,257.6,128.8,2704.7999999999997,70.0,128.8
518,Research & Development,Manufacturing Director,4197.0,3.0,1.0,419.7000000000001,209.85,4406.849999999999,62.0,209.85000000000002
520,Research & Development,Research Director,14336.0,3.0,25.0,1433.6,716.8000000000001,15052.800000000001,110.0,716.8000000000001
521,Research & Development,Laboratory Technician,3448.0,4.0,1.0,344.8,172.4,3620.4,82.0,172.4
522,Research & Development,Research Director,19406.0,3.0,4.0,1940.6,970.3,20376.3,68.0,970.3000000000001
523,Sales,Sales Executive,6538.0,3.0,3.0,653.8000000000001,326.90000000000003,6864.900000000001,66.0,326.90000000000003
524,Research & Development,Manufacturing Director,4306.0,3.0,13.0,430.6,215.3,4521.3,86.0,215.3
525,Research & Development,Laboratory Technician,2258.0,4.0,3.0,225.8,112.9,2370.9,86.0,112.9
526,Research & Development,Healthcare Representative,4522.0,3.0,5.0,452.2000000000001,226.1,4748.099999999999,70.0,226.10000000000002
527,Sales,Sales Executive,4487.0,3.0,5.0,448.7000000000001,224.35,4711.349999999999,70.0,224.35000000000002
529,Research & Development,Research Scientist,4449.0,3.0,13.0,444.9,222.45,4671.45,86.0,222.45000000000002
530,Research & Development,Laboratory Technician,2218.0,3.0,4.0,221.8,110.9,2328.9,68.0,110.9
531,Research & Development,Manager,19197.0,3.0,21.0,1919.7,959.85,20156.850000000002,102.0,959.85
532,Sales,Sales Executive,13212.0,3.0,7.0,1321.2,660.6,13872.6,74.0,660.6
533,Sales,Sales Executive,6577.0,3.0,5.0,657.7,328.85,6905.849999999999,70.0,328.85
534,Sales,Sales Executive,8392.0,3.0,10.0,839.2,419.6,8811.6,80.0,419.6
536,Research & Development,Laboratory Technician,4558.0,3.0,10.0,455.8,227.9,4785.900000000001,80.0,227.9
538,Research & Development,Laboratory Technician,4031.0,3.0,2.0,403.1,201.55,4232.55,64.0,201.55
543,Research & Development,Manufacturing Director,7969.0,3.0,5.0,796.9000000000001,398.4500000000001,8367.449999999999,70.0,398.45000000000005
544,Research & Development,Research Scientist,2654.0,4.0,2.0,265.40000000000003,132.70000000000002,2786.7000000000003,84.0,132.70000000000002
546,Research & Development,Manager,16555.0,3.0,5.0,1655.5,827.75,17382.75,70.0,827.75
547,Research & Development,Research Scientist,4556.0,3.0,5.0,455.6,227.8,4783.8,70.0,227.8
548,Research & Development,Manufacturing Director,6091.0,4.0,5.0,609.1,304.55,6395.55,90.0,304.55
549,Research & Development,Manager,19566.0,3.0,29.0,1956.6,978.3,20544.3,118.0,978.3000000000001
550,Research & Development,Manufacturing Director,4810.0,3.0,10.0,481.0,240.5,5050.5,80.0,240.5
551,Research & Development,Healthcare Representative,4523.0,3.0,6.0,452.3,226.15,4749.150000000001,72.0,226.15
554,Sales,Sales Representative,3202.0,3.0,5.0,320.20000000000005,160.10000000000002,3362.1,70.0,160.10000000000002
555,Sales,Sales Representative,2351.0,3.0,2.0,235.1,117.55,2468.5499999999997,64.0,117.55000000000001
556,Research & Development,Laboratory Technician,1702.0,4.0,1.0,170.20000000000002,85.10000000000001,1787.1000000000001,82.0,85.10000000000001
558,Sales,Manager,18041.0,3.0,20.0,1804.1,902.05,18943.05,100.0,902.0500000000001
560,Research & Development,Research Scientist,2886.0,4.0,3.0,288.6,144.3,3030.2999999999997,86.0,144.3
562,Research & Development,Laboratory Technician,2097.0,3.0,5.0,209.7,104.85,2201.85,70.0,104.85000000000001
564,Research & Development,Research Director,11935.0,3.0,10.0,1193.5,596.75,12531.75,80.0,596.75
565,Research & Development,Research Scientist,2546.0,3.0,2.0,254.6,127.3,2673.2999999999997,64.0,127.30000000000001
566,Human Resources,Human Resources,2564.0,3.0,1.0,256.40000000000003,128.20000000000002,2692.2000000000003,62.0,128.20000000000002
567,Sales,Sales Executive,8412.0,3.0,9.0,841.2,420.6,8832.6,78.0,420.6
568,Sales,Manager,14118.0,3.0,1.0,1411.8000000000002,705.9000000000001,14823.9,62.0,705.9000000000001
569,Research & Development,Manager,17046.0,3.0,27.0,1704.6,852.3000000000001,17898.3,114.0,852.3000000000001
571,Research & Development,Laboratory Technician,2564.0,3.0,11.0,256.40000000000003,128.20000000000002,2692.2000000000003,82.0,128.20000000000002
573,Sales,Sales Executive,10266.0,3.0,18.0,1026.6,513.3000000000001,10779.300000000001,96.0,513.3000000000001
574,Research & Development,Manufacturing Director,5070.0,3.0,5.0,507.0,253.5,5323.5,70.0,253.5
575,Research & Development,Research Director,17861.0,3.0,3.0,1786.1,893.0500000000001,18754.05,66.0,893.0500000000001
577,Research & Development,Laboratory Technician,4230.0,3.0,5.0,423.0,211.5,4441.5,70.0,211.5
578,Research & Development,Laboratory Technician,3780.0,3.0,1.0,378.0,189.0,3969.0,62.0,189.0
579,Research & Development,Research Scientist,2768.0,3.0,7.0,276.8,138.4,2906.4,74.0,138.4
580,Sales,Sales Executive,9071.0,3.0,3.0,907.1,453.55,9524.550000000001,66.0,453.55
581,Research & Development,Manufacturing Director,10648.0,4.0,13.0,1064.8,532.4,11180.4,106.0,532.4
582,Research & Development,Manager,13610.0,3.0,7.0,1361.0,680.5,14290.5,74.0,680.5
584,Research & Development,Laboratory Technician,3408.0,3.0,4.0,340.8,170.4,3578.4,68.0,170.4
585,Sales,Sales Representative,2983.0,3.0,3.0,298.3,149.15,3132.15,66.0,149.15
586,Research & Development,Healthcare Representative,7632.0,3.0,8.0,763.2,381.6,8013.6,76.0,381.6
587,Research & Development,Healthcare Representative,9824.0,3.0,1.0,982.4,491.2000000000001,10315.199999999999,62.0,491.20000000000005
590,Human Resources,Human Resources,9950.0,3.0,3.0,995.0,497.5,10447.5,66.0,497.5
591,Research & Development,Laboratory Technician,2093.0,3.0,2.0,209.3,104.65,2197.65,64.0,104.65
592,Sales,Sales Executive,9980.0,3.0,10.0,998.0,499.0,10479.0,80.0,499.0
593,Research & Development,Laboratory Technician,3894.0,3.0,2.0,389.4,194.7,4088.7,64.0,194.70000000000002
595,Sales,Sales Executive,4051.0,3.0,9.0,405.1,202.55,4253.55,78.0,202.55
597,Sales,Manager,16835.0,4.0,10.0,1683.5,841.75,17676.75,100.0,841.75
599,Sales,Sales Executive,6230.0,3.0,14.0,623.0,311.5,6541.5,88.0,311.5
600,Sales,Sales Executive,4717.0,3.0,11.0,471.7000000000001,235.85,4952.849999999999,82.0,235.85000000000002
601,Research & Development,Manufacturing Director,13237.0,3.0,20.0,1323.7,661.85,13898.85,100.0,661.85
602,Research & Development,Laboratory Technician,3755.0,3.0,8.0,375.5,187.75,3942.75,76.0,187.75
604,Sales,Sales Executive,6582.0,3.0,6.0,658.2,329.1,6911.099999999999,72.0,329.1
605,Research & Development,Manufacturing Director,7406.0,4.0,10.0,740.6,370.3,7776.3,100.0,370.3
606,Sales,Sales Executive,4805.0,3.0,8.0,480.5,240.25,5045.25,76.0,240.25
608,Human Resources,Human Resources,2741.0,3.0,7.0,274.1,137.05,2878.0499999999997,74.0,137.05
611,Research & Development,Manufacturing Director,4262.0,3.0,3.0,426.2000000000001,213.1,4475.099999999999,66.0,213.10000000000002
612,Research & Development,Research Director,16184.0,3.0,6.0,1618.4,809.2,16993.2,72.0,809.2
613,Sales,Manager,11557.0,4.0,5.0,1155.7,577.85,12134.85,90.0,577.85
614,Sales,Sales Representative,1878.0,3.0,0.0,187.8,93.9,1971.9,60.0,93.9
615,Sales,Sales Executive,10932.0,3.0,1.0,1093.2,546.6,11478.6,62.0,546.6
616,Research & Development,Healthcare Representative,6811.0,3.0,8.0,681.1,340.55,7151.55,76.0,340.55
618,Sales,Sales Executive,4306.0,3.0,0.0,430.6,215.3,4521.3,60.0,215.3
620,Sales,Sales Executive,4859.0,3.0,5.0,485.9,242.95,5101.95,70.0,242.95000000000002
621,Sales,Sales Executive,5337.0,3.0,10.0,533.7,266.85,5603.849999999999,80.0,266.85
622,Research & Development,Laboratory Technician,2340.0,3.0,1.0,234.0,117.0,2457.0,62.0,117.0
623,Research & Development,Manufacturing Director,7491.0,3.0,6.0,749.1,374.55,7865.55,72.0,374.55
624,Research & Development,Healthcare Representative,10527.0,3.0,2.0,1052.7,526.35,11053.35,64.0,526.35
625,Sales,Manager,16595.0,3.0,18.0,1659.5,829.75,17424.75,96.0,829.75
626,Sales,Sales Executive,8834.0,3.0,9.0,883.4000000000001,441.7000000000001,9275.699999999999,78.0,441.70000000000005
630,Research & Development,Research Scientist,5577.0,3.0,10.0,557.7,278.85,5855.849999999999,80.0,278.85
631,Sales,Sales Executive,4707.0,3.0,4.0,470.7000000000001,235.35,4942.349999999999,68.0,235.35000000000002
632,Sales,Sales Representative,2400.0,3.0,2.0,240.0,120.0,2520.0,64.0,120.0
634,Research & Development,Healthcare Representative,9824.0,3.0,1.0,982.4,491.2000000000001,10315.199999999999,62.0,491.20000000000005
635,Research & Development,Manufacturing Director,6447.0,3.0,6.0,644.7,322.35,6769.349999999999,72.0,322.35
638,Research & Development,Research Director,19502.0,3.0,31.0,1950.2,975.1,20477.100000000002,122.0,975.1
639,Research & Development,Research Scientist,2725.0,3.0,6.0,272.5,136.25,2861.25,72.0,136.25
641,Sales,Sales Executive,6272.0,4.0,5.0,627.2,313.6,6585.599999999999,90.0,313.6
643,Research & Development,Laboratory Technician,2127.0,4.0,1.0,212.7,106.35,2233.35,82.0,106.35000000000001
644,Human Resources,Manager,18200.0,3.0,32.0,1820.0,910.0,19110.0,124.0,910.0
645,Sales,Sales Representative,2096.0,3.0,7.0,209.6,104.8,2200.7999999999997,74.0,104.80000000000001
647,Research & Development,Laboratory Technician,2886.0,3.0,6.0,288.6,144.3,3030.2999999999997,72.0,144.3
648,Sales,Sales Representative,2033.0,3.0,1.0,203.3,101.65,2134.65,62.0,101.65
649,Research & Development,Research Scientist,3622.0,3.0,6.0,362.2000000000001,181.1,3803.1000000000004,72.0,181.10000000000002
650,Sales,Sales Executive,4233.0,3.0,3.0,423.3,211.65,4444.650000000001,66.0,211.65
652,Research & Development,Laboratory Technician,3681.0,3.0,3.0,368.1,184.05,3865.0499999999997,66.0,184.05
653,Sales,Sales Executive,5460.0,4.0,7.0,546.0,273.0,5733.0,94.0,273.0
655,Research & Development,Research Scientist,2187.0,3.0,5.0,218.7,109.35,2296.35,70.0,109.35000000000001
656,Sales,Sales Executive,9602.0,3.0,3.0,960.2,480.1,10082.1,66.0,480.1
657,Research & Development,Research Scientist,2836.0,3.0,1.0,283.6,141.8,2977.7999999999997,62.0,141.8
659,Research & Development,Healthcare Representative,4089.0,3.0,10.0,408.9,204.45,4293.45,80.0,204.45000000000002
661,Research & Development,Research Director,16627.0,3.0,1.0,1662.7,831.35,17458.350000000002,62.0,831.35
662,Research & Development,Research Scientist,2619.0,3.0,0.0,261.90000000000003,130.95000000000002,2749.9500000000003,60.0,130.95000000000002
663,Research & Development,Laboratory Technician,5679.0,3.0,8.0,567.9,283.95,5962.95,76.0,283.95
664,Research & Development,Manager,15402.0,3.0,3.0,1540.2,770.1,16172.1,66.0,770.1
665,Human Resources,Human Resources,5985.0,3.0,2.0,598.5,299.25,6284.25,64.0,299.25
666,Sales,Sales Representative,2579.0,3.0,8.0,257.90000000000003,128.95000000000002,2707.9500000000003,76.0,128.95000000000002
667,Sales,Sales Representative,3041.0,3.0,4.0,304.1,152.05,3193.0499999999997,68.0,152.05
669,Sales,Sales Representative,3447.0,3.0,3.0,344.70000000000005,172.35000000000002,3619.35,66.0,172.35000000000002
671,Research & Development,Manager,19513.0,3.0,2.0,1951.3,975.65,20488.649999999998,64.0,975.6500000000001
675,Research & Development,Research Scientist,2773.0,4.0,2.0,277.3,138.65,2911.65,84.0,138.65
677,Sales,Sales Executive,7104.0,3.0,5.0,710.4000000000001,355.20000000000005,7459.2,70.0,355.20000000000005
679,Research & Development,Research Scientist,6322.0,3.0,6.0,632.2,316.1,6638.099999999999,72.0,316.1
680,Research & Development,Research Scientist,2083.0,4.0,1.0,208.3,104.15,2187.15,82.0,104.15
682,Sales,Sales Executive,8381.0,4.0,14.0,838.1,419.05,8800.050000000001,108.0,419.05
683,Research & Development,Research Scientist,2691.0,3.0,10.0,269.1,134.55,2825.5499999999997,80.0,134.55
684,Sales,Sales Executive,4286.0,3.0,1.0,428.6,214.3,4500.3,62.0,214.3
686,Research & Development,Laboratory Technician,2659.0,3.0,3.0,265.90000000000003,132.95000000000002,2791.9500000000003,66.0,132.95000000000002
689,Research & Development,Manufacturing Director,9434.0,3.0,10.0,943.4,471.7000000000001,9905.699999999999,80.0,471.70000000000005
690,Sales,Sales Executive,5561.0,3.0,6.0,556.1,278.05,5839.05,72.0,278.05
691,Research & Development,Research Scientist,6646.0,3.0,17.0,664.6,332.3,6978.3,94.0,332.3
692,Research & Development,Healthcare Representative,7725.0,4.0,13.0,772.5,386.25,8111.25,106.0,386.25
698,Human Resources,Human Resources,10725.0,3.0,9.0,1072.5,536.25,11261.25,78.0,536.25
699,Research & Development,Manufacturing Director,8847.0,3.0,3.0,884.7,442.35,9289.35,66.0,442.35
700,Research & Development,Research Scientist,2045.0,3.0,4.0,204.5,102.25,2147.25,68.0,102.25
701,Research & Development,Research Scientist,1009.0,3.0,1.0,100.9,50.45,1059.45,62.0,50.45
702,Research & Development,Research Scientist,3348.0,3.0,10.0,334.8,167.4,3515.4,80.0,167.4
704,Research & Development,Laboratory Technician,1281.0,3.0,1.0,128.1,64.05,1345.05,62.0,64.05
705,Research & Development,Research Scientist,2819.0,3.0,3.0,281.90000000000003,140.95000000000002,2959.9500000000003,66.0,140.95000000000002
707,Sales,Sales Executive,4851.0,4.0,3.0,485.1,242.55,5093.55,86.0,242.55
709,Sales,Sales Executive,4028.0,4.0,7.0,402.8,201.4,4229.400000000001,94.0,201.4
710,Research & Development,Research Scientist,2720.0,3.0,10.0,272.0,136.0,2856.0,80.0,136.0
712,Sales,Sales Executive,8120.0,3.0,2.0,812.0,406.0,8526.0,64.0,406.0
714,Sales,Sales Executive,4647.0,4.0,6.0,464.7000000000001,232.35,4879.349999999999,92.0,232.35000000000002
715,Research & Development,Research Scientist,4680.0,3.0,1.0,468.0,234.0,4914.0,62.0,234.0
